10,6
100,8
1000,7
10000,10
100000,12
732044,28
712363,39
304769,43
643894,32
938377,51
143081,30
491045,30
556625,16
196560,14
815630,17
750311,18
519216,12
361666,11
272800,10
807381,20
617348,18
471037,12
274300,10
371052,12
766722,13
407892,15
433658,10
485330,10
441577,10
720808,12
125445,6
461093,10
603295,11
826578,13
443195,10
455206,11
401030,10
552231,12
284622,8
327325,8
728622,12
928466,15
665099,11
815182,14
977798,14
759968,11
997452,13
767245,11
337607,7
28413,4
214352,5
931959,13
563624,9
341233,7
919848,12
503761,9
987222,13
530291,9
21305,3
799369,11
923,2
883670,12
763078,14
112822,5
507934,9
855798,12
612695,10
863487,12
140285,6
83077,4
845628,12
228710,10
858805,11
823530,12
603492,9
106274,5
982744,13
179976,6
552455,9
883782,11
351574,7
128108,5
140482,5
300162,8
576571,10
804806,11
517485,9
541073,9
771693,15
40251,4
786152,11
867140,11
254173,9
345284,8
10597,2
984794,12
463395,9
676130,10
658446,10
985221,17
41070,4
904464,12
203927,6
613893,10
253373,6
272197,6
390865,8
946309,13
591429,10
605561,10
449411,9
