1000,1
10000,1
100000,10
1000000,26
10000000,33
4459921,23
14043537,29
85370189,152
76228125,152
43339903,81
50509384,86
7960808,14
23822905,42
68103252,138
86458783,152
56415398,99
76528418,134
44004746,77
87504198,154
50317711,92
22300381,41
83772157,204
78106119,141
96022238,169
18267109,32
73030428,136
31419406,58
80250589,142
62231078,111
49981747,88
35452928,68
5796184,10
58073652,104
44557500,79
63585010,111
59863234,114
71593855,128
89795545,158
76587633,137
80487408,143
85458190,149
28865891,50
99555229,174
36818301,65
32794591,58
89976741,155
13098905,39
37033491,65
1874820,3
3977901,7
68121326,120
81495330,146
69684936,122
41468930,73
44141434,79
60579951,106
33699566,65
17723559,31
74350419,131
84861584,151
32609975,59
76618646,136
79945604,142
4079853,7
49065291,86
87731586,153
72000582,124
53448774,95
63453379,113
21846771,38
194243,1
63601231,112
39893033,70
63133671,121
58764539,106
45611971,92
38769430,69
64147900,111
16618930,29
50188406,93
1485695,3
90741833,158
61918252,107
46824348,81
1323558,2
43249912,75
6450560,11
90442540,157
32606770,56
35368928,62
11646722,20
27578459,48
6730311,12
81590429,143
36377781,64
89126623,156
11209707,20
44967268,80
17420754,31
23033861,40
251203,0
38980768,71
78016786,144
20950919,40
21379664,39
